Data Size (GB),Number of Nodes,Mean AUC-ROC,Mean AUC-ROC,Mean Accuracy,Mean Accuracy,Mean F1 Score,Mean F1 Score,Mean Precision,Mean Precision,Mean Recall,Mean Recall
,,Pytorch,Ray,Pytorch,Ray,Pytorch,Ray,Pytorch,Ray,Pytorch,Ray
1.05,1,0.7424,0.7502,0.6836,0.6891,0.7098,0.7224,0.7345,0.7315,0.7033,0.7276
1.05,2,0.7482,0.7388,0.6825,0.6758,0.7075,0.7248,0.7343,0.7041,0.7082,0.7578
1.05,3,0.7458,0.7364,0.6781,0.6616,0.6942,0.6872,0.744,0.7007,0.6695,0.6949
2.16,1,0.7449,0.741,0.6853,0.6815,0.7134,0.7056,0.6843,0.6887,0.7574,0.7281
2.16,2,0.7484,0.7352,0.682,0.6712,0.7037,0.6885,0.6993,0.6855,0.7293,0.6986
2.16,3,0.752,0.7457,0.688,0.6896,0.7196,0.7132,0.6907,0.6963,0.7635,0.7399
3.37,1,0.7638,0.7697,0.6925,0.6981,0.6997,0.71,0.7017,0.7015,0.7038,0.7279
3.37,2,0.7671,0.7621,0.6865,0.6831,0.6939,0.6856,0.6932,0.7019,0.7042,0.6886
3.37,3,0.7688,0.762,0.6925,0.6861,0.699,0.6846,0.6988,0.7107,0.7096,0.6759
