Framework,Data Size (GB),Number of Nodes,Execution Time (s),Average Silhouette
Pytorch,1.99,3,56.941561698913574,0.381122618795782
Pytorch,3.7,1,275.897745847702,0.3862725406836596
Ray,5.48,1,2524.9442722797394,0.38851381356268355
Pytorch,1.99,2,86.28186678886414,0.38157065231810716
Ray,3.7,3,405.6521849632263,0.3860743420266854
Pytorch,5.48,3,149.52764105796814,0.38478026786953756
Ray,1.99,1,531.8464508056641,0.3793750967378633
Pytorch,5.48,2,207.7290074825287,0.38619225684564873
Ray,3.7,2,620.0297608375549,0.3860743420266854
Pytorch,5.48,1,412.37943506240845,0.38792964716174033
Ray,3.7,1,1248.7974684238434,0.3860743420266854
Ray,1.99,2,321.4918990135193,0.3793750967378633
Ray,1.99,3,227.98979115486145,0.3793750967378633
Pytorch,1.99,1,150.73480415344238,0.38098028814336005
Pytorch,3.7,2,134.00131273269653,0.38553140647786877
Ray,5.48,2,938.6549746990204,0.38851381356268355
Ray,5.48,3,623.94802069664,0.38851381356268355
Pytorch,3.7,3,105.14109086990356,0.3839983211501954
